,Company Name,No of stops,No of days in advanced booked,class,where to where,Route Value,Departure Time,Duration,Price,distance in km
0,Air Asia,1,1,Economy,Delhi - Mumbai,3,8.0,6.58,5953,1148
1,Air Asia,1,1,Economy,Delhi - Mumbai,3,9.42,6.58,5953,1148
2,Air Asia,1,1,Economy,Delhi - Mumbai,3,12.67,7.58,5953,1148
3,Air Asia,1,1,Economy,Delhi - Mumbai,3,11.92,8.33,5953,1148
4,Air Asia,1,1,Economy,Delhi - Mumbai,3,8.0,8.58,5953,1148
5,Air Asia,1,1,Economy,Delhi - Mumbai,3,18.67,11.67,5953,1148
6,Air Asia,1,1,Economy,Delhi - Mumbai,3,16.25,14.08,5953,1148
7,Air Asia,1,1,Economy,Delhi - Mumbai,3,8.58,16.08,5953,1148
8,Go First,0,1,Economy,Delhi - Mumbai,3,18.83,1.92,5954,1148
9,Go First,0,1,Economy,Delhi - Mumbai,3,9.08,2.0,5954,1148
10,Go First,0,1,Economy,Delhi - Mumbai,3,6.25,2.08,5954,1148
11,Go First,0,1,Economy,Delhi - Mumbai,3,14.33,2.08,5954,1148
12,Go First,0,1,Economy,Delhi - Mumbai,3,20.5,2.08,5954,1148
13,Go First,0,1,Economy,Delhi - Mumbai,3,21.5,2.08,5954,1148
14,Go First,0,1,Economy,Delhi - Mumbai,3,22.75,2.08,5954,1148
15,Go First,1,1,Economy,Delhi - Mumbai,3,17.75,4.67,5954,1148
16,Go First,1,1,Economy,Delhi - Mumbai,3,10.67,5.0,5954,1148
17,Go First,1,1,Economy,Delhi - Mumbai,3,15.5,5.58,5954,1148
18,Go First,1,1,Economy,Delhi - Mumbai,3,13.5,5.83,5954,1148
19,Go First,1,1,Economy,Delhi - Mumbai,3,12.58,6.75,5954,1148
20,Go First,1,1,Economy,Delhi - Mumbai,3,10.67,6.83,5954,1148
21,Go First,1,1,Economy,Delhi - Mumbai,3,8.83,6.92,5954,1148
22,Go First,1,1,Economy,Delhi - Mumbai,3,15.5,7.25,5954,1148
23,Vistara,0,1,Economy,Delhi - Mumbai,3,6.0,2.0,5955,1148
24,SpiceJet,0,1,Economy,Delhi - Mumbai,3,18.67,2.0,5955,1148
25,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,6.0,2.0,6942,1148
26,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,21.67,2.17,6942,1148
27,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,7.5,2.25,6942,1148
28,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,19.75,2.25,6942,1148
29,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,8.83,2.33,6942,1148
30,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,18.92,2.33,6942,1148
31,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,7.17,7.83,11422,1148
32,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,20.58,14.08,11422,1148
33,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,7.17,15.83,11422,1148
34,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,7.17,27.5,11422,1148
35,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,20.58,18.42,11702,1148
36,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,14.75,8.25,11758,1148
37,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,14.75,19.92,11758,1148
38,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,14.75,24.25,12038,1148
39,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,9.5,2.17,12318,1148
40,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,17.17,4.42,13158,1148
41,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,20.67,11.75,14138,1148
42,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,20.67,26.75,14446,1148
43,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,20.58,26.42,14670,1148
44,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,13.67,7.92,14726,1148
45,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,17.17,4.58,15398,1148
46,Vistara,0,1,Premium Economy,Delhi - Mumbai,3,10.33,2.25,15734,1148
47,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,8.17,12.08,16714,1148
48,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,8.17,13.67,16714,1148
49,Vistara,1,1,Premium Economy,Delhi - Mumbai,3,8.17,15.25,16714,1148
50,Air India,0,1,Business,Delhi - Mumbai,3,7.0,2.08,20012,1148
51,Air India,0,1,Business,Delhi - Mumbai,3,8.0,2.17,20012,1148
52,Air India,0,1,Business,Delhi - Mumbai,3,10.67,2.17,20012,1148
53,Air India,0,1,Business,Delhi - Mumbai,3,9.0,2.25,20012,1148
54,Air India,0,1,Business,Delhi - Mumbai,3,19.0,2.25,20012,1148
55,Air India,1,1,Business,Delhi - Mumbai,3,18.0,3.58,20012,1148
56,Air India,1,1,Business,Delhi - Mumbai,3,15.08,3.17,25612,1148
57,Air India,1,1,Business,Delhi - Mumbai,3,13.33,4.5,29628,1148
58,Air India,1,1,Business,Delhi - Mumbai,3,20.17,23.83,29716,1148
59,Air India,1,1,Business,Delhi - Mumbai,3,12.83,6.58,29777,1148
60,Vistara,1,1,Business,Delhi - Mumbai,3,13.33,23.33,30249,1148
61,Air India,1,1,Business,Delhi - Mumbai,3,4.92,9.5,32212,1148
62,Air India,2,1,Business,Delhi - Mumbai,3,21.25,18.67,32212,1148
63,Air India,1,1,Business,Delhi - Mumbai,3,15.08,24.83,32982,1148
64,Vistara,1,1,Business,Delhi - Mumbai,3,17.17,17.83,33609,1148
65,Vistara,1,1,Business,Delhi - Mumbai,3,13.33,5.0,34617,1148
66,Air India,1,1,Business,Delhi - Mumbai,3,21.42,9.75,34622,1148
67,Air India,1,1,Business,Delhi - Mumbai,3,21.42,12.0,34622,1148
68,Air India,1,1,Business,Delhi - Mumbai,3,9.75,13.75,34622,1148
69,Air India,1,1,Business,Delhi - Mumbai,3,8.33,15.17,34622,1148
70,Air India,1,1,Business,Delhi - Mumbai,3,9.75,21.42,34622,1148
71,Air India,1,1,Business,Delhi - Mumbai,3,8.33,22.83,34622,1148
72,Air India,1,1,Business,Delhi - Mumbai,3,9.75,23.67,34622,1148
73,Air India,1,1,Business,Delhi - Mumbai,3,8.33,25.08,34622,1148
74,Air India,1,1,Business,Delhi - Mumbai,3,21.42,26.08,34622,1148
75,Air Asia,1,7,Economy,Delhi - Mumbai,3,9.42,6.58,5953,1148
76,Air Asia,1,7,Economy,Delhi - Mumbai,3,12.67,7.58,5953,1148
77,Air Asia,1,7,Economy,Delhi - Mumbai,3,11.92,8.33,5953,1148
78,Air Asia,1,7,Economy,Delhi - Mumbai,3,18.67,11.67,5953,1148
79,Air Asia,1,7,Economy,Delhi - Mumbai,3,8.0,14.17,5953,1148
80,Air Asia,1,7,Economy,Delhi - Mumbai,3,8.58,16.08,5953,1148
81,Go First,0,7,Economy,Delhi - Mumbai,3,6.25,2.08,5954,1148
82,Go First,0,7,Economy,Delhi - Mumbai,3,20.5,2.08,5954,1148
83,Go First,0,7,Economy,Delhi - Mumbai,3,21.5,2.08,5954,1148
84,Go First,0,7,Economy,Delhi - Mumbai,3,22.75,2.08,5954,1148
85,Go First,1,7,Economy,Delhi - Mumbai,3,15.5,5.58,5954,1148
86,Go First,1,7,Economy,Delhi - Mumbai,3,8.83,6.92,5954,1148
87,Go First,1,7,Economy,Delhi - Mumbai,3,15.5,7.25,5954,1148
88,Vistara,0,7,Economy,Delhi - Mumbai,3,6.0,2.0,5955,1148
89,SpiceJet,0,7,Economy,Delhi - Mumbai,3,18.67,2.0,5955,1148
90,IndiGo,0,7,Economy,Delhi - Mumbai,3,19.08,2.0,5955,1148
91,Air India,0,7,Economy,Delhi - Mumbai,3,7.0,2.08,5955,1148
92,IndiGo,0,7,Economy,Delhi - Mumbai,3,13.17,2.08,5955,1148
93,Vistara,0,7,Economy,Delhi - Mumbai,3,15.17,2.08,5955,1148
94,IndiGo,0,7,Economy,Delhi - Mumbai,3,20.5,2.08,5955,1148
95,IndiGo,0,7,Economy,Delhi - Mumbai,3,5.0,2.17,5955,1148
96,IndiGo,0,7,Economy,Delhi - Mumbai,3,6.17,2.17,5955,1148
97,Air India,0,7,Economy,Delhi - Mumbai,3,8.0,2.17,5955,1148
98,Vistara,0,7,Economy,Delhi - Mumbai,3,9.5,2.17,5955,1148
99,Air India,0,7,Economy,Delhi - Mumbai,3,10.67,2.17,5955,1148
100,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,6.0,2.0,6942,1148
101,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,21.67,2.17,6942,1148
102,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,7.5,2.25,6942,1148
103,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,19.75,2.25,6942,1148
104,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,8.83,2.33,6942,1148
105,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,17.75,2.33,6942,1148
106,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,18.92,2.33,6942,1148
107,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,9.5,2.17,7278,1148
108,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,16.92,2.17,7278,1148
109,Vistara,0,7,Premium Economy,Delhi - Mumbai,3,10.33,2.25,7278,1148
110,Vistara,1,7,Premium Economy,Delhi - Mumbai,3,17.17,17.83,11142,1148
111,Vistara,1,7,Premium Economy,Delhi - Mumbai,3,17.75,5.25,11422,1148
